Название файла,Автор,Тематика текста
_itartass1.xhtml,Латышев Сергей,спорт
_itartass2.xhtml,Бычков Андрей,политика и общественная жизнь
_itartass3.xhtml,Останин Сергей,политика и общественная жизнь
_itartass4.xhtml,Ходий Владимир,искусство и культура
_itartass5.xhtml,Зайцев Борис,спорт
_rbk2.xhtml,неизвестный,политика и общественная жизнь
_rbk3.xhtml,неизвестный,бизнес, коммерция, экономика, финансы
_rbk4.xhtml,неизвестный,политика и общественная жизнь
_rbk6.xhtml,неизвестный,бизнес, коммерция, экономика, финансы
_rbk7.xhtml,неизвестный,криминал
_rian1.xhtml,Смотров Александр,искусство и культура
_rian2.xhtml,неизвестный,искусство и культура
_rian3.xhtml,неизвестный,криминал
_rian5.xhtml,неизвестный,политика и общественная жизнь
